name,longitude,latitude
Pantai Hospital Kuala Lumpur,101.6668,3.119575
Mercu UEM,101.6835,3.132491
Wisma Felcra,101.7324,3.1907
Ancasa Hotel Kuala Lumpur,101.6993,3.1452
Pertama Complex,101.6956,3.157289
Taman Desa Medical Centre,101.6778,3.096067
Bukit Gembira Condominium,101.688,3.083748
Wisma MCA,101.7168,3.159956
Maybank Tower,101.6995,3.147273
A-Saloon+ Melawati Mall,101.7485,3.210403
Kumpulan Wang Simpanan Pekerja,101.695,3.15386
Sekolah Jenis Kebangsaan (C) Kuen Cheng 1,101.6994,3.133694
Sunway Putra Mall,101.6926,3.16622
Menara TH Perdana,101.6962,3.159834
Jabatan Kerja Raya Malaysia,101.69,3.153984
SMK Bandar Tun Hussein Onn 2,101.7552,3.05447
Securities Commission,101.6448,3.145482
Menara SSM,101.685,3.133977
University of Malaya,101.6538,3.120905
Babel,101.6226,3.152409
Velesto Energy Berhad,101.6847,3.132268
Subang Jaya Medical Centre (SJMC),101.5938,3.079771
Church Of Our Lady Of Guadalupe,101.6143,3.013076
Brainy Bunch Bandar Kinrara,101.6525,3.039122
Koi Kinrara Suites,101.6233,3.070731
Fitness First @ IOI Mall,101.6184,3.045361
Kdu Glenmarie Campus,101.5606,3.095641
Hong Leong Assurance (HQ),101.6285,3.09017
Masjid Seri Petaling - Markaz Malaysia,101.6891,3.0689
Plaza33,101.6381,3.109937
SJK (C) Batu 11 Cheras,101.7709,3.046406
"SIRIM Berhad HeadQuarters, Shah Alam",101.5151,3.0674
R.E.A.L Kids Ara Damansara,101.5865,3.110365
La Grande Kiara,101.6576,3.174718
Malaysian Communications & Multimedia Commission (MCMC),101.662,2.922869
Motorola Solutions Malaysia Sdn.Bhd.,100.2941,5.297237
UOB Lebuh Bishop,100.341,5.419192
Bentong Hospital,101.9055,3.525149
"University Tun Hussein Onn, Pagoh",102.7308,2.148394
"Miri Airport, Sarawak.",113.9856,4.321549
"Sungai Tujuh, Malaysian Custom And Imigration Complex",114.0748,4.584269
Sibu Airport,111.9867,2.25644
Tawau Hospital,117.8807,4.249723
Papar Hospital,115.9238,5.726855
Sinar Harian,101.519,3.060926
"DRB-HICOM Auto Solutions Sdn Bhd, Pekan",103.3861,3.536099
Terminal Sentral Kuantan (Bus Terminal),103.285,3.830146
Larkin Sentral,103.7417,1.495591
Madrasatul Quran Kubang Bujuk,103.0791,5.263712
